Year, Total Crashes, Animal-Vehicle Crashes, Percent Animal-Vehicle Crashes, Fatalities, Injuries, Post-Hunt Deer Population Estimates,Salvaged and Unsalvaged Deer Carcasses
1993,257209,2516,0.98,1,609,NA,NA
1994,259184,2699,1.04,2,684,730000,NA
1995,253136,3124,1.23,2,796,NA,NA
1996,250521,3262,1.3,1,844,750000,NA
1997,263604,5523,2.1,3,934,940000,NA
1998,306646,9741,3.18,5,917,930000,NA
1999,356981,12641,3.54,1,939,970000,NA
2000,392245,14208,3.62,0,992,1060000,NA
2001,331979,9390,2.83,3,883,1050000,24551
2002,253710,3958,1.56,1,751,1090000,28965
2003,246926,5289,2.14,5,752,940000,30519
2004,232758,5735,2.46,2,517,810000,24637
2005,245084,11240,4.59,5,1357,780000,20808
2006,294686,20113,6.83,4,1376,780000,19590
2007,352307,23961,6.8,5,1332,840000,20911
2008,340987,24555,7.2,3,1368,940000,19700
2009,600268,34819,5.8,2,1200,850000,NA
2010,603183,35396,5.87,7,1139,920000,NA
2011,556126,35161,6.32,4,1311,920000,NA
2012,425454,34818,8.18,3,1251,1050000,NA
2013,417710,36613,8.77,3,1080,960000,NA
